Feedback_ID,Project_ID,Feedback_Date,Delivery_Quality_Score,Communication_Score,Value_For_Money_Score,Overall_Satisfaction_Score,Would_Recommend
FDB-00001, PRJ-0001,2025-01-03,3.3,3.8,3.2,3.5,Maybe
FDB-00002,PRJ-0002,2024-08-01,3.2,3,3,3.1,No
FDB-00003,PRJ-0004,2024-07-18,3.9,3.4,3.6,3.7,Maybe
FDB-00004,PRJ-0006,2025-02-25,4,3.5,3.8,3.8,
FDB-00005,PRJ-0008,2025-08-08,4.4,4.4,4.1,,Yes
FDB-00006,PRJ-0009,2025-08-06,3.5,4,3.7,3.7,Maybe
FDB-00007,PRJ-0013,2025-06-17,3.9,4.3,3.9,4,Yes
FDB-00008,PRJ-0014,2025-04-30,4.5,4.5,4.4,4.5,Yes
FDB-00009,PRJ-0015,2025-02-20,4.2,4.1,4.4,4.2,Yes
FDB-00010,PRJ-0016,2025-06-12,3.7,3.7,3.9,3.8,Maybe
FDB-00011,PRJ-0018,2025-09-04,4.1,4.2,3.7,4,Yes
FDB-00012,PRJ-0020,2023-09-07,3.7,3.7,3.8,,Maybe
FDB-00013,PRJ-0021,2024-01-16,4.2,3.8,3.8,4,Yes
FDB-00014,PRJ-0024 ,2024-05-24,3.3,3.4,3.4,3.4,No
FDB-00015,PRJ-0025,2024-10-19,4.3,4,4,4.1,Yes
FDB-00016,PRJ-0027,2025-11-01,3.5,3.5,3.4,3.5,Maybe
FDB-00017,PRJ-0028,2025-05-30,2.8,2.7,2.9,,No
FDB-00018,PRJ-0031,2023-09-15,4.1,4.1,4.1,4.1,Yes
FDB-00019,PRJ-0032,2025-10-29,3.2,3.2,2.9,3.1,No
FDB-00020,PRJ-0034 ,2025-01-28,3.8,3.3,3.7,3.6,Maybe
FDB-00021,PRJ-0036,2023-07-14,4.3,4.1,4.4,4.3,Yes
FDB-00022,PRJ-0039,2025-03-03,3.1,3.4,3.2,3.2,No
FDB-00023,PRJ-0042,2024-08-29,3.5,3.8,3.6,3.7,Maybe
FDB-00024,PRJ-0044,2025-05-04,4.5,4.4,4.5,4.5,Yes
FDB-00025,PRJ-0046,2023-04-22,3.7,3.3,3.6,3.5,Maybe
FDB-00026,PRJ-0048,2024-08-07,4,3.8,4.1,,Yes
FDB-00027,PRJ-0049,2024-03-10,3.3,3.1,3.1,,No
FDB-00028,PRJ-0055,2025-01-12,4,4.1,4.3,4.1,Yes
FDB-00029,PRJ-0057,2024-11-23,3.8,3.9,3.8,,
FDB-00030,PRJ-0058,2025-08-04,4,4.1,4.3,,
FDB-00031,PRJ-0059,2025-06-18,4.3,4.4,4.4,,Yes
FDB-00032,PRJ-0061,2024-09-23,4.2,4.4,3.9,,Yes
FDB-00033,PRJ-0062,2024-05-11,4.7,4.8,4.3,4.6,Yes
FDB-00034,PRJ-0063,2024-12-29,2.7,3,3,2.9,No
FDB-00035,PRJ-0065,2024-05-22,3.3,3.5,3.5,3.4,No
FDB-00036,PRJ-0067,2023-09-12,3.9,3.8,3.5,3.8,Maybe
FDB-00037,prj-0069,2025-10-07,3.6,3.9,3.5,3.7,Maybe
FDB-00038,PRJ-0070,2024-12-24,2.6,2.6,2.9,2.7,
FDB-00039,PRJ-0071,2023-11-01,3.3,3.2,3.6,,No
