Invoice_ID,Project_ID,Client_ID,Invoice_Date,Due_Date,Invoice_Subtotal_CAD,Tax_Rate,Tax_Amount_CAD,Total_Invoice_Amount_CAD,Invoice_Status
INV-000001,PRJ-0001,CLT-005,2024-08-25,2024-09-24,30935.3,0.12,3712.24,34647.54,Paid
INV-000002,PRJ-0001,CLT-005,2024-11-06,2024-12-06,14957.73,0.12,1794.93,16752.66,
INV-000003,PRJ-0001,CLT-005,2025-01-04,2025-02-03,20014.22,0.12,2401.71,22415.93,Paid
INV-000004,PRJ-0002,CLT-026,2024-06-22,2024-08-06,46580.22,,,,Partially Paid - Overdue
INV-000005,PRJ-0002,CLT-026,2024-08-07,2024-09-21,56667.92,0.05,2833.4,59501.32,Paid
INV-000006,PRJ-0003, CLT-072 ,2025-06-03,2025-07-03,21083.58,0.13,2740.87,23824.45,Paid
INV-000007,PRJ-0003,CLT-072,2025-06-24,2025-07-24,12943.97,0.13,1682.72,14626.69,Partially Paid - Overdue
INV-000008,PRJ-0004,CLT-033,2024-01-05,2024-02-04,88530.58,0.13,11508.98,100039.56,Paid
INV-000009,PRJ-0004,CLT-033,2024-03-27,2024-04-26,57605.26,0.13,7488.68,65093.94,Paid
INV-000010,PRJ-0004,CLT-033,2024-07-07,2024-08-06,104927.58,0.13,13640.59,118568.17,
INV-000011,PRJ-0005,CLT-059,2025-10-07,2025-11-21,24558.29,0.13,3192.58,27750.87,paid
INV-000012,PRJ-0005,CLT-059,2025-12-13,2026-01-27,15754.36,0.13,2048.07,17802.43,Partially Paid
INV-000013,PRJ-0006,CLT-033,2024-12-19,2025-01-18,52071.74,0.13,6769.33,58841.07,Partially Paid - Overdue
INV-000014,PRJ-0006,CLT-033,2025-01-15,2025-02-14,47999.72,0.13,6239.96,54239.68,Paid
INV-000015,PRJ-0006,CLT-033,2025-02-27,2025-03-29,44351.23,0.13,5765.66,50116.89,Paid
INV-000016,PRJ-0007,CLT-066,2025-03-10,2025-04-09,46220.67,0.13,6008.69,52229.36,Paid
INV-000017,PRJ-0007 ,CLT-066,2025-05-14,2025-06-13,47886.66,0.13,6225.27,54111.93,Overdue
INV-000018,PRJ-0007,CLT-066,2025-08-09,2025-09-08,33228.49,0.13,4319.7,37548.19,Paid
INV-000019,PRJ-0008,CLT-032,2025-06-04,2025-07-19,72782.02,0.14975,10899.11,83681.13,Paid
INV-000020, PRJ-0008 ,CLT-032,2025-06-17,2025-08-01,83367.46,0.14975,12484.28,95851.74,Paid
INV-000021,PRJ-0008,CLT-032,2025-08-04,2025-09-18,70592.19,0.14975,10571.18,81163.37,Overdue
INV-000022,PRJ-0009,CLT-032,2025-02-28,2025-04-14,121824.26,0.14975,18243.18,140067.44,Paid
INV-000023,PRJ-0009,CLT-032,2025-05-04,2025-06-18,141310.82,0.14975,21161.3,162472.12,Paid
INV-000024,PRJ-0009,CLT-032,2025-07-17,2025-08-31,140548.19,0.14975,21047.09,161595.28,Partially Paid - Overdue
INV-000025,PRJ-0010,CLT-066,2023-11-09,2023-12-09,32434.09,0.13,4216.43,36650.52,Paid
INV-000026,PRJ-0010,CLT-066,2023-11-29,2023-12-29,46086.3,0.13,5991.22,52077.52,Paid
INV-000027,PRJ-0010,CLT-066,2023-12-20,2024-01-19,49569.83,0.13,6444.08,56013.91,Paid
INV-000028,PRJ-0011,CLT-022,2025-02-06,2025-03-08,78886.97,0.05,3944.35,82831.32,Paid
INV-000029,PRJ-0011,CLT-022,2025-04-08,2025-05-08,40278.85,0.05,2013.94,42292.79,Paid
INV-000030,PRJ-0011,CLT-022,2025-06-15,2025-07-15,72927.73,0.05,3646.39,76574.12,Partially Paid - Overdue
INV-000031,PRJ-0012,CLT-002,2025-04-10,2025-05-25,46083.36,0.14975,6900.98,52984.34,Overdue
INV-000032,PRJ-0013,CLT-052,2025-05-21,2025-07-05,38355.3,0.13,4986.19,43341.49,Paid
INV-000033,PRJ-0014,CLT-031,2024-12-12,2024-12-27,27127.85,0.14975,4062.4,31190.25,Paid
INV-000034,PRJ-0014,CLT-031,2025-02-06,2025-02-21,22567.2,0.14975,3379.44,25946.64,Paid
INV-000035,PRJ-0014 ,CLT-031,2025-04-13,2025-04-28,27509.39,0.14975,4119.53,31628.92,Paid
INV-000036,PRJ-0015,CLT-044,2024-12-26,2025-01-25,60541.8,,,,Partially Paid - Overdue
INV-000037,PRJ-0015,CLT-044,2025-02-15,2025-03-17,84548.16,0.13,10991.26,95539.42,Paid
INV-000038,PRJ-0016,CLT-089,2024-12-08,2025-01-22,51242.53,0.15,7686.38,58928.91,Paid
INV-000039,PRJ-0016,CLT-089,2025-03-09,2025-04-23,26919.49,0.15,4037.92,30957.41,Paid
INV-000040,PRJ-0016,CLT-089,2025-06-04,2025-07-19,47649.81,0.15,7147.47,54797.28,Paid
INV-000041,PRJ-0017,CLT-051,2024-09-05,2024-10-20,51442.1,0.12,6173.05,57615.15,Paid
INV-000042,PRJ-0017, CLT-051 ,2024-09-27,2024-11-11,42316.98,0.12,5078.04,47395.02,Partially Paid - Overdue
INV-000043,PRJ-0018,CLT-088,2025-03-29,2025-05-13,108565.08,0.12,13027.81,121592.89,Paid
INV-000044,PRJ-0018,CLT-088,2025-06-11,2025-07-26,129844.69,0.12,15581.36,145426.05,Paid
