Payment_ID,Invoice_ID,Payment_Date,Payment_Amount_CAD,Payment_Method,Payment_Status
PAY-000001,INV-000001,2024-10-26,34647.54,EFT,Cleared
PAY-000002,INV-000003,2025-02-04,22415.93,Cheque,Cleared
PAY-000003, INV-000004 ,2024-08-14,19477.07,Wire,Cleared
PAY-000004,INV-000004,2024-08-14,15210.28,Cheque,Cleared
PAY-000005,INV-000005,2024-09-21,59501.32,Credit Card,Cleared
PAY-000006,INV-000006,2025-07-22,23824.45,EFT,Cleared
PAY-000007,INV-000007,2025-07-22,4286.08,Wire,Cleared
PAY-000008,INV-000007,2025-07-23,5697.35,Wire,Cleared
PAY-000009,INV-000008,2024-02-08,100039.56,EFT,Cleared
PAY-000010,INV-000009,2024-06-21,65093.94,Cheque,Cleared
PAY-000011,INV-000010,2024-09-03,118568.17,Credit Card,Cleared
PAY-000012,INV-000011,2025-11-15,27750.87,Cheque,Cleared
PAY-000013,INV-000012,2025-12-31,4181.81,Wire,Cleared
PAY-000014,INV-000012,2025-12-26,2782.71,Credit Card,Cleared
PAY-000015,INV-000013,2025-01-13,32425.1,Cheque,Cleared
PAY-000016,INV-000014,2025-04-20,54239.68,EFT,Cleared
PAY-000017,INV-000015,2025-04-16,50116.89, EFT ,Cleared
PAY-000018,INV-000016,2025-04-14,52229.36, Cheque ,Cleared
PAY-000019,INV-000018,2025-11-20,37548.19,EFT,Cleared
PAY-000020,INV-000019,2025-07-27,83681.13,EFT,Cleared
PAY-000021,INV-000020,2025-08-02,95851.74,Cheque,Cleared
PAY-000022,INV-000022,2025-04-24,140067.44,Wire,Cleared
PAY-000023,INV-000023,2025-08-31,162472.12,Cheque,Cleared
PAY-000024,INV-000024,2025-10-08,51727.6,EFT,Cleared
PAY-000025,INV-000024,2025-10-07,29053.35,Wire,Cleared
PAY-000026,INV-000025,2023-12-18,36650.52,Cheque,Cleared
PAY-000027,INV-000026,2023-12-28,52077.52,Cheque,Cleared
PAY-000028,INV-000027,2024-02-03,56013.91,EFT,Cleared
PAY-000029,INV-000028,2025-03-05,82831.32,Cheque,Cleared
PAY-000030,INV-000029,2025-05-28,42292.79,Cheque,Cleared
PAY-000031,INV-000030,2025-08-03,13413.84,Cheque,Cleared
PAY-000032,INV-000030,2025-08-05,14980.42,Cheque,Cleared
PAY-000033,INV-000032,2025-09-15,43341.49,Cheque,Cleared
PAY-000034,INV-000033,2025-01-14,31190.25,Cheque,Cleared
PAY-000035,INV-000034,2025-02-22,25946.64,Cheque,Cleared
PAY-000036,INV-000035,2025-04-24,31628.92,Wire,Cleared
PAY-000037,INV-000036,2025-01-02,56129.41,Wire,Cleared
PAY-000038,INV-000037,2025-04-13,95539.42,Wire,Cleared
PAY-000039,INV-000038,2025-01-24,58928.91,Cheque,Cleared
PAY-000040,INV-000039,2025-06-22,30957.41,Cheque,Cleared
PAY-000041,INV-000040,2025-07-23,54797.28,EFT,Cleared
