Assignment_ID,Project_ID,Consultant_ID,Role_On_Project,Assigned_Start_Date,Assigned_End_Date,Allocation_Pct,Bill_Rate_CAD,Assignment_Status
ASN-00001,PRJ-0001,CON-038,Project Manager,2024-07-14,2024-11-19,0.25,256.5,Closed
ASN-00002,PRJ-0001,CON-051,Business Analyst,2024-07-15,2024-11-19,0.6,209,Closed
ASN-00003,PRJ-0001,CON-077,Lead Consultant,2024-07-17,2024-11-19,0.4,256.5,Closed
ASN-00004,PRJ-0002,CON-048,Project Manager,2024-05-06,2024-07-25,0.15,256.5,Closed
ASN-00005,PRJ-0002,CON-023,Delivery Consultant,2024-05-04,2024-07-25,1,171,Closed
ASN-00006,PRJ-0002,CON-051,Business Analyst,2024-05-18,2024-07-25,0.25,209,Closed
ASN-00007,PRJ-0003,CON-056,Project Manager,2025-06-11,2025-06-21,0.3,297,Closed
ASN-00008,PRJ-0003,CON-028,Business Analyst,2025-06-07,2025-06-21,1,157.5,Closed
ASN-00009,PRJ-0004,CON-057,Project Manager,2023-10-07,2024-05-19,0.3,297,Closed
ASN-00010,PRJ-0004,CON-053,Technical Specialist,2023-10-16,2024-05-19,0.2,242,Closed
ASN-00011,PRJ-0005,CON-022,Project Manager,2025-07-16,2025-12-13,0.25,270,Active
ASN-00012,prj-0005,CON-039,Lead Consultant,2025-07-28,2025-12-13,0.6,150,Active
ASN-00013,PRJ-0006,CON-057,Project Manager,2024-12-05,2025-01-10,0.2,297,Closed
ASN-00014,PRJ-0006,CON-053,Change Analyst,2024-12-06,2025-01-10,0.25,242,Closed
ASN-00015,PRJ-0007,CON-059,Project Manager,2025-01-18,2025-07-01,0.25,297.5,Closed
ASN-00016, PRJ-0007,CON-055,Change Analyst,2025-01-09,2025-07-01,0.75,153,Closed
ASN-00017,PRJ-0007,CON-067,Business Analyst,2025-01-03,2025-07-01,0.6,187,Closed
ASN-00018,PRJ-0007,CON-034,Lead Consultant,2025-01-11,2025-07-01,0.5,187,Closed
ASN-00019,PRJ-0008,CON-069,Project Manager,2025-04-23,2025-07-27,0.25,243,Closed
ASN-00020,PRJ-0008,CON-073 ,Change Analyst,2025-05-06,2025-07-27,0.3,198,Closed
ASN-00021,PRJ-0008,CON-046,Delivery Consultant,2025-04-24,2025-07-27,0.75,135,Closed
ASN-00022,PRJ-0009,CON-056,Project Manager,2024-12-31,2025-06-15,0.2,297,Closed
ASN-00023,PRJ-0009,CON-065,Delivery Consultant,2025-01-11,2025-06-15,0.75,242,Closed
ASN-00024,PRJ-0010,CON-038,Project Manager,2023-10-28,2023-12-16,0.2,256.5,Closed
ASN-00025,PRJ-0010,CON-005,Lead Consultant,2023-11-06,2023-12-16,0.75,171,Closed
ASN-00026,PRJ-0010,CON-035,Business Analyst,2023-10-28,2023-12-16,0.25,142.5,Closed
ASN-00027,PRJ-0011,CON-036,Project Manager,2024-12-17,2025-04-23,0.15,350,Closed
ASN-00028,PRJ-0011,CON-062,Change Analyst,2024-12-20,2025-04-23,0.2,220,Closed
ASN-00029,PRJ-0011,con-022,Technical Specialist,2024-12-22,2025-04-23,0.4,270,Closed
ASN-00030,PRJ-0012,CON-056,Project Manager,2025-04-20,2025-04-27,0.15,297,Closed
ASN-00031,PRJ-0012, CON-021,Lead Consultant,2025-04-19,2025-04-19,0.3,198,Closed
ASN-00032,prj-0012,CON-018,Business Analyst,2025-04-05,2025-04-19,1,198,Closed
ASN-00033,PRJ-0012,CON-065,Lead Consultant,2025-04-01,2025-04-19,0.2,242,Closed
ASN-00034,PRJ-0013,CON-048,Project Manager,2025-04-12,2025-06-04,0.2,256.5,Closed
ASN-00035,PRJ-0013,CON-023,Lead Consultant,2025-04-13,2025-06-04,0.2,171,Closed
ASN-00036,PRJ-0013 ,CON-003,Lead Consultant,2025-04-20,2025-06-04,0.5,171,Closed
ASN-00037,PRJ-0013,CON-007,Business Analyst,2025-04-18,2025-06-04,0.75,142.5,Closed
ASN-00038,PRJ-0014,CON-059,Project Manager,2024-11-04,2025-03-26,0.25,297.5,Closed
ASN-00039,PRJ-0014,CON-030,Technical Specialist,2024-10-21,2025-03-26,0.2,153,Closed
ASN-00040,PRJ-0014,CON-063,Lead Consultant,2024-11-03,2025-03-26,1,127.5,Closed
ASN-00041,PRJ-0015,CON-048,Project Manager,2024-11-01,2025-02-04,0.2,256.5,Closed
ASN-00042,PRJ-0015,CON-031,Technical Specialist,2024-11-06,2025-02-04,0.4,142.5,Closed
ASN-00043,PRJ-0015,CON-007,Change Analyst,2024-10-31,2025-02-04,0.4,142.5,Closed
ASN-00044,PRJ-0016,CON-015,Project Manager,2024-09-26,2025-05-18,0.1,350,Closed
ASN-00045,PRJ-0016,CON-039,Technical Specialist,2024-10-09,2025-05-18,0.3,150,Closed
ASN-00046,PRJ-0017,CON-069,Project Manager,2024-08-22,2024-09-30,0.3,243,Active
ASN-00047,PRJ-0017,CON-046,Business Analyst,2024-08-22,2024-09-30,0.3,135,Active
ASN-00048,PRJ-0018,CON-056,Project Manager,2025-01-21,2025-08-14,0.15,297,Closed
ASN-00049,PRJ-0018,CON-013,Business Analyst,2025-01-06,2025-08-14,0.5,165,Closed
ASN-00050,PRJ-0018,CON-058,Lead Consultant,2025-01-09,2025-08-14,0.6,165,Closed
ASN-00051,PRJ-0019,CON-057,Project Manager,2023-01-17,2023-02-23,0.2,297,Active
ASN-00052,PRJ-0019,CON-018,Lead Consultant,2023-01-13,2023-02-23,0.25,198,Active
ASN-00053,PRJ-0020,CON-033,Project Manager,2023-06-05,2023-07-17,0.1,315,Closed
ASN-00054,PRJ-0020,CON-004,Technical Specialist,2023-05-30,2023-07-17,0.25,135,Closed
