Timesheet_ID,Work_Date,Project_ID,Consultant_ID,Task_Category,Hours_Worked,Billable_Flag,Approved_Flag
TMS-000001,2024-10-01,PRJ-0001,CON-077,Delivery,65.7,Billable,Yes
TMS-000002,2024-11-01,PRJ-0001,CON-038,Delivery,189.1,Billable,Yes
TMS-000003,2024-08-01,PRJ-0001,CON-051,Client Workshop,133.6,Billable,Yes
TMS-000004,2024-10-01,PRJ-0001,CON-077,Analysis,17.7,Billable,Yes
TMS-000005,2024-07-01,PRJ-0001,CON-051,Analysis,82.4,Billable,Yes
TMS-000006,2024-11-01,PRJ-0001,CON-038,QA Review,25.6,Billable,Yes
TMS-000007,2024-09-01,PRJ-0001,CON-038,Admin,15.7,Non-Billable,Yes
TMS-000008,2024-07-01,PRJ-0002,CON-048,Analysis,66.9,Billable,Yes
TMS-000009,2024-05-01,PRJ-0002,CON-023,Delivery,107.8,Billable,Yes
TMS-000010,2024-05-01,PRJ-0002,CON-048,Delivery,36.3,Billable,Yes
TMS-000011,2024-06-01,PRJ-0002,CON-048,QA Review,137.1,Billable,Yes
TMS-000012,2024-06-01,PRJ-0002,CON-051,Delivery,155.2,Billable,Yes
TMS-000013,2024-05-01,PRJ-0002,CON-051,Delivery,91.4,Billable,Yes
TMS-000014,2024-05-01,PRJ-0002,CON-051,Delivery,184.9,Billable,Yes
TMS-000015,2024-07-01,PRJ-0002,CON-048,Client Workshop,86.2,Billable,Yes
TMS-000016,2024-06-01,PRJ-0002,CON-051,QA Review,10.5,Billable,Yes
TMS-000017,2024-05-01,PRJ-0002,CON-048,Admin,21.2,Non-Billable,Yes
TMS-000018,2024-06-01,PRJ-0002,CON-023,Analysis,2,Billable,Yes
TMS-000019,2024-06-01,PRJ-0002,CON-023,Analysis,2,Billable,Yes
TMS-000020,2024-07-01,PRJ-0002,CON-023,Admin,2,Non-Billable,Yes
TMS-000021,2025-06-01,PRJ-0003,CON-028,Delivery,28.5,Billable,Yes
TMS-000022,2025-06-01,PRJ-0003,CON-028,Delivery,128.4,Billable,Yes
TMS-000023,2025-06-01,PRJ-0003,CON-056,Delivery,25.8,Billable,Yes
TMS-000024,2025-06-01,PRJ-0003,CON-056,Delivery,130.2,Billable,Yes
TMS-000025,2025-06-01,PRJ-0003,CON-028,Delivery,111.9,Billable,Yes
TMS-000026,2025-06-01,PRJ-0003,CON-056,Delivery,165.5,Billable,Yes
TMS-000027,2025-06-01,PRJ-0003,CON-028,Analysis,26.1,Billable,Yes
TMS-000028,2025-06-01,PRJ-0003,CON-056,Admin,22.9,Non-Billable,Yes
TMS-000029,2025-06-01,PRJ-0003,CON-056,Analysis,19.4,Billable,Yes
TMS-000030,2025-06-01,PRJ-0003,CON-056,Client Workshop,2,Billable,Yes
TMS-000031,2023-12-01,PRJ-0004,CON-057,Client Workshop,59.8,Billable,Yes
TMS-000032,2024-05-01,PRJ-0004 ,CON-053,Delivery,60.6,Billable,Yes
TMS-000033,2024-03-01,PRJ-0004,CON-057,Delivery,79.1,Billable,Yes
TMS-000034,2024-03-01,PRJ-0004,CON-057,Delivery,186,Billable,Yes
TMS-000035,2023-12-01,PRJ-0004,CON-053,Delivery,41.4,Billable,Yes
TMS-000036,2023-12-01,PRJ-0004,CON-057,Sales Support,59,Non-Billable,Yes
TMS-000037,2024-01-01,PRJ-0004,CON-053,Client Workshop,113.3,Billable,Yes
TMS-000038,2023-12-01,PRJ-0004,CON-057,Client Workshop,70.3,Billable,Yes
TMS-000039,2024-04-01,PRJ-0004,CON-057,Delivery,20.7,Billable,No
TMS-000040,2023-12-01,PRJ-0004,CON-057,Delivery,173.5,Billable,Yes
TMS-000041,2023-12-01,PRJ-0004,CON-057,QA Review,148,Billable,Yes
TMS-000042,2023-11-01,PRJ-0004,CON-057,Delivery,156.6,Billable,Yes
TMS-000043,2024-01-01,PRJ-0004,CON-053,Analysis,69.6,Billable,Yes
TMS-000044,2024-05-01,PRJ-0004,CON-057,Analysis,134.4,Billable,Yes
TMS-000045,2023-11-01,PRJ-0004,CON-053,Delivery,73.2,Billable,Yes
TMS-000046,2024-03-01,PRJ-0004,CON-053,Delivery,53.4,Billable,Yes
TMS-000047,2025-11-01,PRJ-0005,CON-039,Analysis,65.4,Billable,Yes
TMS-000048,2025-08-01,PRJ-0005,CON-039,Delivery,49.4,Billable,Yes
TMS-000049,2025-09-01,PRJ-0005,CON-039,Internal Training,151,Non-Billable,Yes
TMS-000050,2025-11-01,PRJ-0005,CON-022,QA Review,25.3,Billable,Yes
TMS-000051,2025-10-01,PRJ-0005,CON-022,Delivery,15.9,Billable,Yes
TMS-000052,2024-12-01,PRJ-0006,CON-053,Delivery,32.2,Billable,Yes
TMS-000053,2024-12-01,PRJ-0006,CON-053,Client Workshop,114.6,,Yes
TMS-000054,2024-12-01,PRJ-0006,CON-057,Delivery,19.2,Billable,Yes
TMS-000055,2024-12-01,PRJ-0006,CON-057,Internal Training,91.3,Non-Billable,Yes
TMS-000056,2024-12-01,PRJ-0006,CON-057,Delivery,18.9,Billable,Yes
TMS-000057,2024-12-01,PRJ-0006,CON-057,Analysis,111.6,Billable,Yes
TMS-000058,2024-12-01,PRJ-0006,CON-053,QA Review,90.7,Billable,Yes
TMS-000059,2024-12-01,PRJ-0006,CON-053,Analysis,54.5,Billable,Yes
TMS-000060,2024-12-01,PRJ-0006,CON-057,Analysis,136.1,Billable,Yes
TMS-000061,2024-12-01,PRJ-0006, CON-053,Delivery,145.3,Billable,Yes
TMS-000062,2024-12-01,PRJ-0006,CON-053,Delivery,97,Billable,No
TMS-000063,2024-12-01,PRJ-0006,CON-053,Delivery,108.4,Billable,Yes
TMS-000064,2025-02-01,PRJ-0007,CON-055,QA Review,122.1,Billable,Yes
TMS-000065,2025-01-01,PRJ-0007,CON-067,Analysis,191,Billable,Yes
TMS-000066,2025-05-01,PRJ-0007,CON-059,Delivery,107.3,Billable,Yes
TMS-000067,2025-03-01,PRJ-0007,CON-067,Analysis,14.9,Billable,Yes
TMS-000068,2025-05-01,PRJ-0007,CON-055,Delivery,150.5,Billable,Yes
TMS-000069,2025-04-01,PRJ-0007,CON-055,Delivery,172.9,Billable,Yes
TMS-000070,2025-07-01,PRJ-0007,CON-059,Internal Training,139.8,Non-Billable,No
TMS-000071,2025-06-01,PRJ-0007,CON-034,Client Workshop,67.4,Billable,Yes
TMS-000072,2025-05-01,PRJ-0007,CON-034,Delivery,170.2,Billable,Yes
TMS-000073,2025-06-01,PRJ-0007,CON-067,Analysis,137.6,Billable,Yes
TMS-000074,2025-03-01,PRJ-0007,CON-055,Analysis,128.1,Billable,Yes
TMS-000075,2025-02-01,PRJ-0007,CON-059,Sales Support,79.6,Non-Billable,Yes
TMS-000076,2025-06-01,PRJ-0008,CON-073,Delivery,36.8,Billable,Yes
TMS-000077,2025-07-01,PRJ-0008,CON-073,Analysis,114.3,Billable,Yes
TMS-000078,2025-05-01,PRJ-0008,CON-073,Delivery,52.6,Billable,Yes
TMS-000079,2025-05-01,PRJ-0008,CON-073,Analysis,118.5,Billable,Yes
TMS-000080,2025-06-01,PRJ-0008,CON-073,Delivery,59.2,Billable,Yes
TMS-000081,2025-05-01,PRJ-0008,CON-073,QA Review,29.5,Billable,Yes
TMS-000082,2025-07-01,PRJ-0008,CON-046,QA Review,35.5,Billable,Yes
TMS-000083,2025-07-01,PRJ-0008,CON-069,Delivery,107.8,Billable,Yes
TMS-000084,2025-06-01,PRJ-0008,CON-069,Delivery,57,Billable,Yes
TMS-000085,2025-05-01,PRJ-0008,CON-069,Delivery,122.3,Billable,Yes
TMS-000086,2025-05-01,PRJ-0008,CON-069,Sales Support,91.5,Non-Billable,Yes
TMS-000087,2025-05-01,PRJ-0008,CON-046,QA Review,18.6,Billable,Yes
TMS-000088,2025-06-01,PRJ-0008,CON-073,Sales Support,61.5,Non-Billable,Yes
TMS-000089,2025-05-01,PRJ-0008,CON-069,Delivery,13.9,Billable,Yes
TMS-000090,2025-05-01,PRJ-0008,CON-046,Delivery,143.7,Billable,Yes
TMS-000091,2025-06-01,PRJ-0008,CON-046,Delivery,168.9,Billable,Yes
TMS-000092,2025-05-01,PRJ-0008,CON-069,Delivery,182.8,Billable,Yes
TMS-000093,2025-05-01,PRJ-0008,CON-069,Delivery,38.7,Billable,Yes
TMS-000094,2025-05-01,PRJ-0008,CON-069,QA Review,170.3,Billable,Yes
TMS-000095,2025-05-01,PRJ-0008,CON-046,Delivery,101,,Yes
TMS-000096,2025-05-01,PRJ-0008,CON-073,Delivery,37.2,Billable,Yes
TMS-000097,2025-06-01,PRJ-0008,CON-073,Delivery,112.9,Billable,Yes
TMS-000098,2025-05-01,PRJ-0008,CON-046,Delivery,95.4,Billable,Yes
TMS-000099,2025-06-01,PRJ-0009,CON-056,QA Review,161,Billable,Yes
TMS-000100,2025-01-01,PRJ-0009,CON-056,Delivery,191.1,Billable,Yes
TMS-000101,2025-06-01,PRJ-0009,CON-065,Analysis,41.6,Billable,Yes
TMS-000102,2025-04-01,PRJ-0009,CON-056,Analysis,79.7,Billable,Yes
TMS-000103,2025-05-01,PRJ-0009,CON-065,Delivery,161.9,Billable,Yes
TMS-000104,2025-05-01,PRJ-0009,CON-065,Delivery,154.9,Billable,Yes
TMS-000105,2025-05-01,PRJ-0009,CON-056,Sales Support,145.4,Non-Billable,Yes
TMS-000106,2025-02-01,PRJ-0009,CON-056,Analysis,119.6,Billable,Yes
TMS-000107,2025-01-01,PRJ-0009,CON-056,Delivery,189.3,Billable,Yes
TMS-000108,2025-04-01,PRJ-0009,CON-065,QA Review,170.5,Billable,Yes
TMS-000109,2025-05-01,PRJ-0009,CON-056,Delivery,158.6,Billable,Yes
TMS-000110,2025-06-01,PRJ-0009,CON-065,Analysis,33.5,Billable,Yes
TMS-000111,2025-03-01,PRJ-0009,CON-065,Analysis,64.8,Billable,Yes
TMS-000112,2025-05-01,PRJ-0009,CON-065,Delivery,179.7,Billable,Yes
TMS-000113,2025-04-01,PRJ-0009,CON-065,Client Workshop,23.2,Billable,Yes
TMS-000114,2025-04-01,PRJ-0009,CON-065,Analysis,84.1,Billable,Yes
TMS-000115,2025-02-01,PRJ-0009,CON-065,Analysis,132.6,Billable,Yes
TMS-000116,2025-04-01,PRJ-0009,CON-065,Delivery,101.4,Billable,Yes
TMS-000117,2025-04-01,PRJ-0009,CON-065,Delivery,142.6,Billable,Yes
TMS-000118,2025-01-01,PRJ-0009,CON-065,QA Review,96.6,Billable,Yes
TMS-000119,2025-05-01,PRJ-0009,CON-065,Analysis,25.2,Billable,Yes
TMS-000120,2025-06-01,PRJ-0009,CON-065,Delivery,27.6,Billable,Yes
TMS-000121,2025-03-01,PRJ-0009,CON-065,QA Review,121.6,,Yes
TMS-000122,2025-02-01,PRJ-0009,CON-065,QA Review,31,Billable,No
TMS-000123,2023-12-01,PRJ-0010,CON-035,Sales Support,29.9,Non-Billable,Yes
TMS-000124,2023-11-01,PRJ-0010,CON-038,Analysis,102.2,Billable,Yes
TMS-000125,2023-11-01,PRJ-0010,CON-005,Delivery,90.1,Billable,Yes
TMS-000126,2023-11-01,PRJ-0010,CON-005,Client Workshop,170.5,Billable,Yes
TMS-000127,2023-11-01,PRJ-0010,CON-038,Delivery,90,Billable,Yes
TMS-000128,2023-12-01,PRJ-0010,CON-035,Delivery,196.7,Billable,Yes
TMS-000129,2023-11-01,PRJ-0010,CON-005,Delivery,46.2,Billable,Yes
TMS-000130,2023-12-01,prj-0010,CON-035,Sales Support,90.3,Non-Billable,Yes
TMS-000131,2023-12-01,PRJ-0010,con-005,QA Review,78.6,Billable,Yes
